id,x,y
27249,3.19332,0.747827
27498,4.87535,0.678208
27603,3.96091,-0.692788
27945,2.34769,-0.2401
28082,1.47317,0.567493
28359,0.987844,1.2774
28530,0.577375,0.0829966
28700,1.08579,0.00451884
28968,1.4677,-0.121549
29041,1.50369,-1.38914
29384,0.686672,-0.671736
29504,1.47124,-0.368718
29754,1.28015,-0.1814
29958,1.96145,-1.71643
30128,0.311481,-1.51634
30363,-0.550993,-1.19954
30552,-1.65043,-2.15489
30785,-2.84185,-0.39521
30805,-2.74244,-1.00494
31058,-3.61313,0.131721
31381,-2.60616,-0.604395
31436,-3.18315,0.228352
31670,-2.11663,-1.5159
31885,-2.68317,-1.0379
32111,-1.04669,-0.198122
32275,-1.12897,-0.843305
32548,-0.629604,0.694994
32771,-0.344885,-0.571815
32992,0.644671,-0.601939
33142,2.6131,-0.660943
33222,1.8005,-0.795534
33555,1.65941,-0.0229517
33787,1.26848,0.759332
33923,0.787198,-1.83402
34049,2.47027,-0.38944
34382,3.18361,-0.322679
34414,3.57998,-1.09607
34760,4.40903,-1.54629
34809,4.46952,-4.36118
35184,3.56314,-4.06152
35241,3.15464,-1.6107
35500,2.53713,-1.76304
35673,2.27503,-0.545728
35876,2.72872,0.301112
36013,3.84722,0.589469
36255,1.71668,1.33168
36531,2.66433,1.54176
36675,1.02367,0.756716
36809,0.627772,2.18131
37035,0.57245,1.88275
37288,1.55869,4.11467
37468,0.165915,4.84356
37790,-0.317846,3.01727
37959,-0.512821,2.67469
38026,0.0482594,1.04999
38380,0.18079,0.101204
38543,1.66331,-0.150339
38669,1.43885,-0.507702
38828,1.17185,-0.216343
39165,0.327083,0.460102
39376,1.38476,0.951108
39541,2.85955,2.13969
39730,1.72474,1.13443
39995,2.03122,1.32136
40150,0.764221,0.4644
40279,0.335044,-0.491856
40488,1.20739,0.0205442
40768,1.0298,0.888176
40917,-0.865245,-2.07006
41186,-1.25749,-1.03026
41284,0.0942678,-0.744874
41480,-0.331833,-1.04354
41713,-0.680687,-1.58423
41924,-0.475548,-1.05235
42171,0.543061,-1.35272
42294,0.422545,-1.27021
42466,0.587281,-2.16557
42651,-0.835332,-1.66031
42854,-0.265622,-1.87743
43143,-0.818358,-1.69035
43208,-0.688335,-2.55834
43543,-1.30482,-0.520335
43709,-0.820801,0.102105
43835,-0.503294,-1.47113
44090,0.209725,-1.6977
44277,-0.187811,-0.711164
44575,-0.370894,-0.0545507
44785,-0.879871,-0.400493
44861,0.0687102,-0.813733
45195,0.368747,-1.52462
45226,0.96633,-2.06979
45448,1.07809,-2.54817
45703,2.16221,-0.373551
45942,3.53113,0.891821
46037,3.83185,0.887359
46251,4.68213,2.2603
46586,4.5368,3.00521
46774,4.34766,1.88811
46897,4.16811,2.942
47186,2.90397,3.60354
47400,2.48546,3.1013
47503,1.58288,2.50699
47719,0.914677,2.57682
47879,2.00388,4.80282
48171,1.99963,3.69551
48206,3.39621,4.46883
48588,1.36487,4.66881
48790,1.0182,3.98925
48974,-0.373297,2.20946
49153,-0.451651,3.94814
49287,1.69287,3.16021
49572,0.748921,3.05721
49632,-0.0231628,3.49296
49890,-0.985658,4.83765
50001,-0.957115,4.62599
50224,-1.97097,4.01969
50552,-2.68318,2.67305
50686,-3.96022,3.75653
50805,-3.64984,4.26133
51121,-1.95826,4.46428
51310,-3.20366,4.7293
51562,-3.01115,3.20165
51771,-1.83069,4.63108
51897,-0.993665,3.61355
