id,x,y,z
52307,-1.23428,4.88987,3.2415
52427,-1.5849,3.98651,3.14907
52699,-1.27159,4.41258,4.10745
52971,-1.84029,4.37821,3.12806
53119,-1.26859,4.59475,3.51565
53207,-1.3496,4.73653,3.11295
53577,-1.63687,4.64826,3.8184
53624,-1.24137,4.68208,3.02773
53860,-1.07158,4.51359,2.9808
54142,-1.73958,4.38607,3.22875
54227,-1.4953,4.71254,3.65133
54428,-1.49556,4.53117,3.40807
54756,-1.27135,4.11802,2.97832
54937,-1.79666,4.27128,3.84784
55109,-1.94162,4.83905,3.16789
55269,-1.74836,4.8393,3.5682
55562,-1.59312,4.28988,3.46494
55637,-1.63721,4.18811,2.64001
55923,-1.5706,4.62244,2.76053
56036,-1.44127,4.47263,3.43889
56295,-2.18463,4.67012,3.97869
56460,-1.27087,3.92779,3.32186
56742,-1.62476,4.39415,3.6983
56969,-1.8559,4.51237,3.95005
57031,-1.39334,4.48724,3.32804
57360,-1.60154,4.64836,3.59092
57446,-1.50326,4.54886,3.26773
57745,-1.55763,3.89799,3.30608
57969,-1.4367,4.02418,3.32182
58054,-1.3855,4.67123,3.29059
58384,-1.19631,4.91172,3.46502
58519,-1.49309,4.94,3.42689
58716,-1.15174,4.58014,3.01977
58816,-0.940366,4.8415,3.44303
59016,-1.16058,4.71234,3.0269
59265,-1.66449,4.34218,3.86208
59424,-1.44033,4.06838,3.28029
59704,-1.44744,4.00555,3.08886
59984,-1.3456,4.0375,3.18584
60196,-1.0876,4.16473,2.98933
60328,-0.98554,4.70843,3.08468
60482,-1.18683,4.31057,2.97531
60659,-1.77344,4.24597,3.07696
60874,-1.65781,4.54493,3.4421
61199,-1.52923,4.40787,2.91056
61276,-1.6679,4.42553,2.85438
61427,-1.54709,4.53167,3.2429
61713,-2.15269,4.45388,3.60244
61811,-1.31795,4.45347,3.26008
62090,-1.48922,4.19396,3.6243
62373,-1.57773,4.45666,3.57404
62569,-1.64408,4.07019,3.66569
62631,-1.88188,3.84354,3.40112
62963,-1.96339,4.62987,3.897
63099,-1.70881,4.87245,3.15975
63206,-1.77219,4.17273,3.78779
63580,-1.44567,4.80846,3.59042
63649,-1.81901,4.15121,2.82062
63875,-1.35577,4.83498,3.97753
64200,-1.07091,4.44393,3.3566
64387,-1.68486,4.13273,3.18874
64584,-1.14696,4.76162,3.3202
64776,-1.08923,4.69954,3.39996
64869,-0.896587,4.79363,3.62921
65084,-1.7706,4.13267,3.15569
65363,-1.48279,4.52254,3.56585
65516,-1.79322,4.60779,3.60832
65717,-1.71579,4.03112,2.83081
65862,-1.81699,4.05339,3.45071
66152,-1.21132,4.89299,3.27776
66262,-0.981145,4.36131,2.90258
66476,-1.4111,4.60637,3.29009
66682,-1.32887,3.77039,4.11316
66860,-1.67807,4.24639,2.96442
67183,-1.76616,4.46447,3.49974
67331,-1.51174,4.63452,3.64009
67458,-1.92011,4.3179,2.98922
67749,-1.15463,4.553,3.46118
67850,-1.31562,4.76007,3.04621
68138,-1.5682,4.08848,3.03358
68232,-1.20185,4.45538,3.26732
68542,-1.3848,4.18016,3.92546
68731,-1.74614,4.24321,3.10792
68937,-1.46947,4.15199,3.25574
69011,-1.72475,4.39969,2.84437
